Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South,Reward_Total,Reward_Queue,Reward_Throughput,Reward_Wait,Reward_Fairness
119,0,5,2.5,0,0,1,0.0,5.0,-1.2982740021574974,-0.5555555555555556,0.125,-0.24271844660194172,-0.625
120,0,5,2.5,0,0,0,0.0,6.0,-1.4718176914778858,-0.5555555555555556,0.0,-0.2912621359223301,-0.625
121,0,5,2.5,0,0,1,0.0,7.0,-1.395361380798274,-0.5555555555555556,0.125,-0.3398058252427184,-0.625
122,0,5,2.5,1,0,0,0.0,8.0,-1.5689050701186624,-0.5555555555555556,0.0,-0.3883495145631068,-0.625
123,0,5,2.5,0,0,1,0.0,9.0,-1.4924487594390508,-0.5555555555555556,0.125,-0.4368932038834951,-0.625
124,1,4,1.5,1,0,0,0.2,9.25,-1.3892934196332254,-0.5555555555555556,0.0,-0.4587378640776698,-0.375
125,2,3,0.5,0,0,1,0.6,7.0,-0.924487594390507,-0.5555555555555556,0.125,-0.3689320388349514,-0.125
126,2,2,0.0,1,0,0,0.83,4.75,-0.7153182308522115,-0.4444444444444444,0.0,-0.270873786407767,-0.0
127,3,1,1.0,0,0,0,1.33,3.33,-0.9206580366774542,-0.4444444444444444,0.0,-0.2262135922330097,-0.25
128,4,0,2.0,0,0,0,2.0,0.0,-1.041531823085221,-0.4444444444444444,0.0,-0.0970873786407767,-0.5
129,4,0,2.0,1,0,0,2.29,0.0,-1.055609492988134,-0.4444444444444444,0.0,-0.11116504854368932,-0.5
130,5,0,2.5,0,0,1,3.0,0.0,-1.2011866235167206,-0.5555555555555556,0.125,-0.14563106796116504,-0.625
131,5,0,2.5,0,0,0,3.71,0.0,-1.3606526429341963,-0.5555555555555556,0.0,-0.18009708737864077,-0.625
132,6,0,3.0,0,1,1,4.57,0.0,-1.5135113268608413,-0.6666666666666666,0.125,-0.22184466019417476,-0.75
133,7,0,3.5,0,0,0,5.57,0.0,-1.9231661272923408,-0.7777777777777778,0.0,-0.2703883495145631,-0.875
134,7,0,3.5,0,1,0,6.57,0.0,-1.9717098166127291,-0.7777777777777778,0.0,-0.31893203883495147,-0.875
135,7,0,3.5,0,0,1,7.57,0.0,-1.8952535059331175,-0.7777777777777778,0.125,-0.3674757281553398,-0.875
136,7,0,3.5,0,1,1,8.57,0.0,-1.9437971952535058,-0.7777777777777778,0.125,-0.4160194174757281,-0.875
137,6,0,3.0,0,0,0,8.83,0.0,-1.8453074433656957,-0.6666666666666666,0.0,-0.4286407766990291,-0.75
138,5,0,2.5,0,1,1,7.5,0.0,-1.419633225458468,-0.5555555555555556,0.125,-0.36407766990291257,-0.625
139,4,1,1.5,0,0,0,6.17,0.25,-1.2422060409924487,-0.5555555555555556,0.0,-0.31165048543689317,-0.375
140,3,1,1.0,0,0,0,4.67,0.5,-0.9454153182308522,-0.4444444444444444,0.0,-0.25097087378640776,-0.25
141,2,2,0.0,0,1,0,3.8,0.8,-0.6677454153182307,-0.4444444444444444,0.0,-0.22330097087378636,-0.0
142,1,2,0.5,0,0,0,2.0,1.2,-0.613673139158576,-0.3333333333333333,0.0,-0.1553398058252427,-0.125
143,0,2,1.0,0,0,0,0.0,1.6,-0.5498921251348435,-0.2222222222222222,0.0,-0.07766990291262135,-0.25
144,0,3,1.5,0,0,0,0.0,2.2,-0.8151294498381877,-0.3333333333333333,0.0,-0.10679611650485438,-0.375
145,0,4,2.0,0,0,0,0.0,3.0,-1.0900755124056094,-0.4444444444444444,0.0,-0.14563106796116504,-0.5
146,0,5,2.5,0,0,1,0.0,4.0,-1.2497303128371091,-0.5555555555555556,0.125,-0.1941747572815534,-0.625
147,0,5,2.5,0,0,0,0.0,5.0,-1.4232740021574974,-0.5555555555555556,0.0,-0.24271844660194172,-0.625
148,0,5,2.5,1,0,1,0.0,6.0,-1.3468176914778858,-0.5555555555555556,0.125,-0.2912621359223301,-0.625
149,0,5,2.5,0,0,1,0.0,7.0,-1.395361380798274,-0.5555555555555556,0.125,-0.3398058252427184,-0.625
150,1,4,1.5,1,0,0,0.2,7.0,-1.2800701186623518,-0.5555555555555556,0.0,-0.34951456310679613,-0.375
151,1,3,1.0,0,0,1,0.4,5.25,-0.8437162891046386,-0.4444444444444444,0.125,-0.27427184466019416,-0.25
152,1,2,0.5,1,0,0,0.5,3.75,-0.6646440129449838,-0.3333333333333333,0.0,-0.20631067961165048,-0.125
153,2,1,0.5,0,0,0,0.83,2.67,-0.6282362459546925,-0.3333333333333333,0.0,-0.1699029126213592,-0.125
154,2,0,1.0,0,0,0,1.17,0.0,-0.5290183387270766,-0.2222222222222222,0.0,-0.05679611650485436,-0.25
